chip_id,gt_cloud_cover_percent,pred_cloud_cover_percent,gt_solar_irradiance_wm2,pred_solar_irradiance_wm2
adxp,100.0,100.0,199.99998,199.99998
aeej,91.29181,90.77911,269.66553,273.76706
aegb,91.5863,100.0,267.30954,199.99998
aemb,100.0,100.0,199.99998,199.99998
aevh,72.85004,70.14465,417.19968,438.84277
aevs,99.975586,53.985596,200.19531,568.11523
aewm,100.0,100.0,199.99998,199.99998
aeyz,99.65515,100.0,202.75879,199.99998
afel,99.97406,100.0,200.20753,199.99998
afgi,99.0509,99.24774,207.59279,206.01804
afor,83.343506,86.2381,333.25195,310.09518
afqf,0.0,0.0,1000.0,1000.0
agjg,4.8324585,5.554199,961.34033,955.5664
agno,100.0,100.0,199.99998,199.99998
agsp,81.65588,97.83325,346.75293,217.33397
aheo,86.21979,87.90588,310.2417,296.75293
aikb,58.102417,58.413696,535.18066,532.6904
aipn,21.46759,20.355225,828.2593,837.1582
aiyo,100.0,100.0,199.99998,199.99998
ajea,100.0,100.0,199.99998,199.99998
ajqj,2.307129,3.1356812,981.54297,974.91455
ajyz,62.773132,62.130737,497.81494,502.95413
akaw,0.680542,0.8377075,994.55566,993.29834
akby,20.050049,15.322876,839.5996,877.417
akkb,0.0,57.232666,1000.0,542.1387
akoo,28.684998,27.778625,770.52,777.771
alde,15.466309,16.300964,876.26953,869.5923
alkn,52.835083,53.697205,577.31934,570.42236
almq,98.56262,99.028015,211.49904,207.7759
alss,20.075989,15.875244,839.3921,872.99805
amfr,92.518616,94.132996,259.85104,246.93602
amjy,24.549866,25.24414,803.6011,798.0469
amzb,19.972229,19.059753,840.22217,847.522
anae,43.029785,47.70813,655.7617,618.33496
anby,0.08392334,0.0,999.3286,1000.0
angf,95.632935,96.336365,234.93654,229.30908
annw,19.747925,16.488647,842.0166,868.0908
aocs,68.43414,72.25189,452.52686,421.98486
aonr,99.827576,100.0,201.37936,199.99998
aoqi,21.333313,20.759583,829.3335,833.92334
apah,26.9516,29.01764,784.3872,767.8589
apaq,44.270325,41.32538,645.8374,669.397
apkq,12.838745,10.635376,897.29004,914.917
apne,47.68219,51.057434,618.5424,591.5405
apoq,79.05121,81.97174,367.5903,344.22607
aqcp,73.19946,71.243286,414.40427,430.0537
aqda,97.25647,99.00818,221.94821,207.93456
aqhi,2.243042,1.9088745,982.05566,984.729
aqtz,31.913757,11.343384,744.68994,909.2529
arat,92.40723,95.39032,260.7422,236.87744
