chip_id,gt_cloud_ratio,pred_cloud_ratio,gt_irradiance,pred_irradiance
xpcd,90.826416,93.46924,273.38867,252.24608
dcuw,100.0,49.27063,199.99998,605.83496
apob,80.57709,84.236145,355.38327,326.11084
kswl,100.0,94.62128,199.99998,243.02977
iwmu,21.031189,21.401978,831.7505,828.7842
hxdd,0.0,40.538025,1000.0,675.6958
duwk,35.71167,37.79297,714.3066,697.65625
cuqj,2.6306152,23.771667,978.9551,809.82666
ylag,69.59839,60.502625,443.21286,515.979
vfgi,41.410828,34.425354,668.7133,724.59717
cmrw,64.0625,94.732666,487.5,242.13869
wjdq,100.0,100.0,199.99998,199.99998
qizt,100.0,100.0,199.99998,199.99998
asvm,85.16998,75.357056,318.6401,397.14355
artb,54.79126,49.798584,561.6699,601.6113
cqdg,100.0,100.0,199.99998,199.99998
hvai,66.48102,66.30554,468.15186,469.55566
ibpg,0.0,92.700195,1000.0,258.3984
svvp,86.613464,84.88922,307.09225,320.8862
wuci,100.0,100.0,199.99998,199.99998
aqfi,97.92328,97.735596,216.61377,218.1152
vsse,80.19409,77.34985,358.44727,381.20114
gsux,58.706665,53.111267,530.3466,575.10986
zxuw,100.0,100.0,199.99998,199.99998
xunb,90.32745,81.19354,277.38034,350.45166
yzsn,17.999268,20.307922,856.00586,837.5366
vexq,38.28125,35.084534,693.75,719.3237
qaor,100.0,100.0,199.99998,199.99998
hvuo,57.746887,53.96118,538.0249,568.3105
rquq,100.0,100.0,199.99998,199.99998
wiqc,100.0,100.0,199.99998,199.99998
kuhw,100.0,99.96948,199.99998,200.24413
ahct,56.880188,52.09503,544.9585,583.23975
enyc,99.91913,100.0,200.64694,199.99998
yyjq,100.0,100.0,199.99998,199.99998
qjhl,100.0,100.0,199.99998,199.99998
mqbr,57.461548,52.275085,540.3076,581.79926
kucw,100.0,100.0,199.99998,199.99998
emea,100.0,100.0,199.99998,199.99998
httk,99.97711,100.0,200.18309,199.99998
moil,0.0,0.0,1000.0,1000.0
cumt,3.1600952,2.6901245,974.71924,978.479
cpwm,100.0,100.0,199.99998,199.99998
njvv,100.0,100.0,199.99998,199.99998
crrt,52.58789,49.6521,579.2968,602.7832
mzfa,35.491943,32.569885,716.06445,739.4409
mrqi,24.099731,19.145203,807.20215,846.8384
wvcr,100.0,100.0,199.99998,199.99998
jven,99.816895,100.0,201.46483,199.99998
bhth,100.0,100.0,199.99998,199.99998
rvcl,100.0,100.0,199.99998,199.99998
vaef,50.743103,43.641663,594.0552,650.8667
dkgn,100.0,100.0,199.99998,199.99998
njfz,100.0,100.0,199.99998,199.99998
cjht,12.077332,11.824036,903.38135,905.4077
vjcr,100.0,100.0,199.99998,199.99998
lbmi,0.32958984,0.14343262,997.3633,998.85254
xgvd,61.253357,67.37213,509.97318,461.02292
xbxe,98.98071,100.0,208.15427,199.99998
naqj,8.268738,7.5286865,933.8501,939.7705
wccl,100.0,100.0,199.99998,199.99998
gjqr,100.0,100.0,199.99998,199.99998
zbgh,37.149048,33.901978,702.8076,728.7842
caif,98.135376,100.0,214.917,199.99998
bjax,100.0,100.0,199.99998,199.99998
ydrq,100.0,78.289795,199.99998,373.6816
hzhw,92.27295,31.150818,261.81638,750.79346
kzvu,100.0,100.0,199.99998,199.99998
cjpa,99.08905,99.375916,207.28761,204.99265
ibpy,0.0,100.0,1000.0,199.99998
ctvu,0.5065918,0.12359619,995.94727,999.0112
njxd,100.0,100.0,199.99998,199.99998
kuex,100.0,93.951416,199.99998,248.38864
rsnj,100.0,100.0,199.99998,199.99998
xmzr,98.80829,99.279785,209.53369,205.76173
nclv,100.0,100.0,199.99998,199.99998
eufg,24.337769,13.644409,805.29785,890.8447
nfdj,29.104614,25.8667,767.1631,793.0664
mxkv,16.342163,12.312317,869.2627,901.50146
hreq,99.02954,100.0,207.76367,199.99998
yhzg,70.23773,47.953796,438.09814,616.3696
jwmr,98.513794,99.19891,211.88962,206.40868
yzzg,34.399414,33.64868,724.8046,730.81055
yoec,17.523193,10.507202,859.81445,915.9424
xtqb,100.0,40.64331,199.99998,674.8535
cbha,3.9047241,4.1000366,968.7622,967.1997
wxtk,41.14685,45.50476,670.8252,635.9619
xmrs,27.026367,22.554016,783.78906,819.5679
eytx,59.61914,55.897522,523.0469,552.8198
uthr,55.747986,58.17108,554.0161,534.63135
iwkf,3.8757324,3.8269043,968.99414,969.38477
eumy,26.602173,22.193909,787.1826,822.4487
rwgq,25.941467,58.888245,792.46826,528.89404
njsl,100.0,100.0,199.99998,199.99998
jxwg,100.0,100.0,199.99998,199.99998
xpkt,65.00549,61.36322,479.95602,509.09424
ytgv,16.160583,18.493652,870.71533,852.0508
vqut,100.0,100.0,199.99998,199.99998
hviz,80.996704,78.30505,352.02634,373.55954
yopn,5.052185,0.819397,959.5825,993.4448
